Hét,Dátum,Nap,Időpont,Platform,Poszt Típus,Téma,Kép/Video,Caption Főbb Pontok,Hashtags,Státusz,Megjegyzés
1,2025-01-06,Hétfő,10:00,Instagram & Facebook,Carousel,Újévi köszöntés + helyszín,Panoráma + terasz + belső tér,"Boldog új évet, helyszín bemutató, panoráma, catering, természet","#HangárBistro #Rendezvényhelyszín #Budapest #Esküvő #CégesRendezvény #ÚjÉv2025",Tervezés,3-5 képes carousel
1,2025-01-08,Szerda,18:00,Instagram & Facebook,Single kép + Story,Esküvői szezon nyitás,Esküvői teríték napnyugtakor,"2025 esküvői szezon, tavaszi-nyári időpontok, teljes körű szervezés, ajánlatkérés","#Esküvő2025 #Esküvőszervezés #EsküvőiBudapest #WeddingVenue #MagyarEsküvő",Tervezés,Story: időpontok foglalása
1,2025-01-10,Péntek,12:00,Instagram & Facebook,Reel,Menü highlight - téli specialitás,Ételkészítés video 15-30 sec,"Téli menü, gombakrémleves, borjúpecsenye, panna cotta, egyedi menük","#GasztronómiaBudapest #Catering #RendezvényCatering #TéliMenü #FoodPorn",Tervezés,Behind-the-scenes a konyhában
2,2025-01-13,Hétfő,09:00,Instagram & Facebook,Single kép,Céges rendezvények,Konferencia terem setup,"Céges események, technikai háttér, catering, team building, parkolás","#CégesRendezvény #TeamBuilding #Konferencia #CorporateEvent #Budapest",Tervezés,Munkaidő kezdéskor posztolni
2,2025-01-15,Szerda,19:00,Instagram & Facebook,Grafika + idézet,Testimonial,Happy couple fotó,"Ügyfél vélemény idézet, Anna és Péter review, esküvői élmény","#VendégVélemény #ElégedettÜgyfelek #Esküvő #Review #Testimonial",Tervezés,Igazi ügyfél fotót használni
2,2025-01-17,Péntek,17:00,Instagram & Facebook,Carousel / Video,Helyszín - panoráma,Napfelkelte-napnyugta szekvencia,"Hármashatár-hegy kilátás, természetközeli, instagram-worthy, helyszínbejárás","#BudapestView #Panoráma #HármashatárHegy #EsküvőiHelyszín #NatureVenue",Tervezés,Napnyugta időben posztolni
3,2025-01-20,Hétfő,11:00,Instagram & Facebook,Grafika / Carousel,Esküvőszervezési tipp,Infografika vagy carousel,"Mikor foglalni helyszínt, 12-18 hónap ideális, early bird előnyök","#EsküvőszervezésTipp #EsküvőTipp #WeddingPlanning #Esküvő2025 #WeddingTips",Tervezés,Oktatási tartalom
3,2025-01-22,Szerda,14:00,Instagram & Facebook,Video / Carousel,Születésnapi rendezvények,Dekoráció + torta + vendégek,"Születésnapi csomagok, Basic/Premium/Exclusive, dekoráció, menü, DJ","#Születésnap #SzületésnapiBuli #BirthdayParty #BudapestEvent #Ünneplés",Tervezés,3 csomag highlight
3,2025-01-24,Péntek,18:30,Instagram & Facebook,Single kép / Carousel,Italválaszték,Borok + pezsgő + koktél,"Bor választék, pezsgők, koktélok, sommelier tanácsadás","#Bor #Pezsgő #Cocktails #WineLovers #EventDrinks #Catering #WineTasting",Tervezés,Bor óra - este posztolni
4,2025-01-27,Hétfő,20:00,Instagram & Facebook,Romantic Reel,Lánykérés,Romantikus pillanat + gyertyák,"Lánykérés szervezés, diszkrét, romantikus, fotós, privát terasz, élőzene","#Lánykérés #Eljegyzés #ProposalIdeas #EngagementRing #RomanticProposal",Tervezés,Este romantikus időben
4,2025-01-29,Szerda,16:00,Instagram & Facebook,Video / Carousel,Behind-the-scenes - Csapat,Csapat tagok munkában,"Csapat bemutató, séf, event designer, koordinátor, technikus, profi","#BehindTheScenes #Csapat #EventTeam #Rendezvényszervezés #ProfessionalTeam",Tervezés,Team highlight
4,2025-01-31,Péntek,10:00,Instagram & Facebook,Grafika + CTA,Február foglalások,CTA grafika,"Február majdnem tele, Valentin-nap, tavaszi esküvő, 10% early bird kedvezmény","#Foglalás #Február #Rendezvény #EarlyBird #Kedvezmény #ValentineDay",Tervezés,Erős CTA - akció
5,2025-02-03,Hétfő,10:00,Instagram & Facebook,Carousel,Valentin-napi ajánlat,Romantikus helyszín + menü,"Valentin-nap lánykérés, romantikus vacsora, privát terasz, páros menü","#ValentineDay #Valentin #RomanticDinner #Lánykérés #ProposalIdeas",Tervezés,Valentin előtt 11 nappal
5,2025-02-05,Szerda,19:00,Instagram & Facebook,Video,Esküvői pillanat,Ceremony vagy first dance,"Esküvői pillanatok, sunset ceremónia, panoráma, felejthetetlen élmény","#Esküvő2025 #WeddingMoments #EsküvőiBudapest #WeddingCeremony",Tervezés,Emocionális tartalom
5,2025-02-07,Péntek,12:00,Instagram & Facebook,Single kép,Valentin menü specialitás,Páros vacsora asztal,"Valentin menü, 4 fogásos, pezsgő, svédasztal, romantikus, február 14","#ValentineMenu #RomanticDinner #Valentin2025 #PárosMenü #Budapest",Tervezés,1 héttel Valentin előtt
6,2025-02-10,Hétfő,11:00,Instagram & Facebook,Grafika / Carousel,Tavaszi esküvő tippek,Infografika,"Tavaszi esküvő trendek, virágok, outdoor ceremónia, időjárás backup terv","#TavasziEsküvő #WeddingTrends #Esküvő2025 #EsküvőTipp #SpringWedding",Tervezés,Tavaszi szezon előkészítés
6,2025-02-12,Szerda,18:00,Instagram & Facebook,Carousel,Testimonial - Lánykérés,Igazi lánykérés fotók,"Balázs lánykérés története, siker, könnyeket, ajánlat","#Lánykérés #ProposalStory #Engagement #LoveStory #SheSaidYes",Tervezés,Valentin hét
